time,Delivered,Suppressed,Failed,Posts via Routes
Wed May 31 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jun 01 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jun 02 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jun 03 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jun 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time),6,0,0,0
Mon Jun 05 2023 20:00:00 GMT-0400 (Eastern Daylight Time),8,0,0,0
Tue Jun 06 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jun 07 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jun 08 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jun 09 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jun 10 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jun 11 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jun 12 2023 20:00:00 GMT-0400 (Eastern Daylight Time),7,0,0,0
Tue Jun 13 2023 20:00:00 GMT-0400 (Eastern Daylight Time),5,0,0,0
Wed Jun 14 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jun 15 2023 20:00:00 GMT-0400 (Eastern Daylight Time),3,0,0,0
Fri Jun 16 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jun 17 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jun 18 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jun 19 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue Jun 20 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jun 21 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu Jun 22 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri Jun 23 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat Jun 24 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun Jun 25 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon Jun 26 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue Jun 27 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed Jun 28 2023 20:00:00 GMT-0400 (Eastern Daylight Time),6,0,0,0
Thu Jun 29 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
