time,Delivered,Suppressed,Failed,Posts via Routes
Sun Apr 30 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon May 01 2023 20:00:00 GMT-0400 (Eastern Daylight Time),3,0,0,0
Tue May 02 2023 20:00:00 GMT-0400 (Eastern Daylight Time),12,0,0,0
Wed May 03 2023 20:00:00 GMT-0400 (Eastern Daylight Time),2,0,0,0
Thu May 04 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri May 05 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat May 06 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun May 07 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon May 08 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue May 09 2023 20:00:00 GMT-0400 (Eastern Daylight Time),25,3,1,0
Wed May 10 2023 20:00:00 GMT-0400 (Eastern Daylight Time),3,0,0,0
Thu May 11 2023 20:00:00 GMT-0400 (Eastern Daylight Time),3,0,0,0
Fri May 12 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat May 13 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun May 14 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon May 15 2023 20:00:00 GMT-0400 (Eastern Daylight Time),2,0,0,0
Tue May 16 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed May 17 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu May 18 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri May 19 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat May 20 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun May 21 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon May 22 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue May 23 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Wed May 24 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Thu May 25 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Fri May 26 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sat May 27 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Sun May 28 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Mon May 29 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
Tue May 30 2023 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0
